Name,Site,Year,Timeline,ID,Treatment,Unique,PrePeak
O'Neil Creek,S16,2016,213,1,Wet,S16_213_2016_Wet,peak
O'Neil Creek,S16,2010,185,2,Wet,S16_185_2010_Wet,pre
Deer Creek,S36,2015,374,3,Wet,S36_374_2015_Wet,peak
Rock Creek,S15,2010,149,4,Wet,S15_149_2010_Wet,pre
Deer Creek,S36,2011,343,5,Wet,S36_343_2011_Wet,pre
Sweetwater,S02,2010,3,6,Wet,S02_3_2010_Wet,pre
O'Neil Creek,S16,2016,219,7,Wet,S16_219_2016_Wet,peak
O'Neil Creek,S16,2016,212,8,Wet,S16_212_2016_Wet,peak
Mill Creek,S11,2016,146B,9,Wet,S11_146B_2016_Wet,peak
Deer Creek,S36,2011,344,10,Wet,S36_344_2011_Wet,pre
Deer Creek,S36,2015,375,11,Wet,S36_375_2015_Wet,peak
Rock Creek,S15,2010,148,12,Wet,S15_148_2010_Wet,pre
O'Neil Creek,S16,2010,190,13,Wet,S16_190_2010_Wet,pre
Sweetwater,S02,2014,28,14,Wet,S02_28_2014_Wet,peak
Deer Creek,S36,2011,345,15,Wet,S36_345_2011_Wet,pre
Sweetwater,S02,2010,1,16,Wet,S02_1_2010_Wet,pre
West Fork,S07,2014,54,17,Wet,S07_54_2014_Wet,peak
Mill Creek,S11,2010,124,18,Wet,S11_124_2010_Wet,pre
O'Neil Creek,S16,2010,186,19,Wet,S16_186_2010_Wet,pre
Rock Creek,S15,2015,172,20,Wet,S15_172_2015_Wet,peak
Mill Creek,S11,2016,146A,21,Wet,S11_146A_2016_Wet,peak
Rock Creek,S15,2010,152,22,Wet,S15_152_2010_Wet,pre
O'Neil Creek,S16,2016,218,23,Wet,S16_218_2016_Wet,peak
West Fork,S07,2014,57,24,Wet,S07_57_2014_Wet,peak
West Fork,S07,2014,51,25,Wet,S07_51_2014_Wet,peak
Mill Creek,S11,2010,123,26,Wet,S11_123_2010_Wet,pre
Sweetwater,S02,2014,35,27,Wet,S02_35_2014_Wet,peak
Deer Creek,S36,2011,346,28,Wet,S36_346_2011_Wet,pre
O'Neil Creek,S16,2016,216,29,Wet,S16_216_2016_Wet,peak
Deer Creek,S36,2015,373,30,Wet,S36_373_2015_Wet,peak
O'Neil Creek,S16,2010,187,31,Wet,S16_187_2010_Wet,pre
Rock Creek,S15,2015,167,32,Wet,S15_167_2015_Wet,peak
West Fork,S07,2010,41,33,Wet,S07_41_2010_Wet,pre
Rock Creek,S15,2010,155,34,Wet,S15_155_2010_Wet,pre
Rock Creek,S15,2015,170,35,Wet,S15_170_2015_Wet,peak
West Fork,S07,2010,40,36,Wet,S07_40_2010_Wet,pre
Rock Creek,S15,2010,153,37,Wet,S15_153_2010_Wet,pre
Rock Creek,S15,2015,164,38,Wet,S15_164_2015_Wet,peak
Sweetwater,S02,2014,29,39,Wet,S02_29_2014_Wet,peak
West Fork,S07,2014,55,40,Wet,S07_55_2014_Wet,peak
West Fork,S07,2014,52,41,Wet,S07_52_2014_Wet,peak
Mill Creek,S11,2010,119,42,Wet,S11_119_2010_Wet,pre
Deer Creek,S36,2011,348,43,Wet,S36_348_2011_Wet,pre
Mill Creek,S11,2010,120,44,Wet,S11_120_2010_Wet,pre
Sweetwater,S02,2010,7,45,Wet,S02_7_2010_Wet,pre
Sweetwater,S02,2010,8,46,Wet,S02_8_2010_Wet,pre
West Fork,S07,2010,38B,47,Wet,S07_38B_2010_Wet,pre
Rock Creek,S15,2015,166,48,Wet,S15_166_2015_Wet,peak
Sweetwater,S02,2014,37,49,Wet,S02_37_2014_Wet,peak
Mill Creek,S11,2010,125,50,Wet,S11_125_2010_Wet,pre
Mill Creek,S11,2016,147A,51,Wet,S11_147A_2016_Wet,peak
Deer Creek,S36,2011,342,52,Wet,S36_342_2011_Wet,pre
West Fork,S07,2014,49,53,Wet,S07_49_2014_Wet,peak
Sweetwater,S02,2010,6,54,Wet,S02_6_2010_Wet,pre
Deer Creek,S36,2015,376,55,Wet,S36_376_2015_Wet,peak
West Fork,S07,2010,38A,56,Wet,S07_38A_2010_Wet,pre
O'Neil Creek,S16,2010,184,57,Wet,S16_184_2010_Wet,pre
O'Neil Creek,S16,2010,189,58,Wet,S16_189_2010_Wet,pre
Deer Creek,S36,2015,372,59,Wet,S36_372_2015_Wet,peak
O'Neil Creek,S16,2010,183,60,Wet,S16_183_2010_Wet,pre
Sweetwater,S02,2014,31,61,Wet,S02_31_2014_Wet,peak
Sweetwater,S02,2014,36,62,Wet,S02_36_2014_Wet,peak
West Fork,S07,2010,39B,63,Wet,S07_39B_2010_Wet,pre
Sweetwater,S02,2014,34,64,Wet,S02_34_2014_Wet,peak
O'Neil Creek,S16,2016,211,65,Wet,S16_211_2016_Wet,peak
Deer Creek,S36,2011,349,66,Wet,S36_349_2011_Wet,pre
Deer Creek,S36,2015,368,67,Wet,S36_368_2015_Wet,peak
Rock Creek,S15,2010,154,68,Wet,S15_154_2010_Wet,pre
Sweetwater,S02,2010,4,69,Wet,S02_4_2010_Wet,pre
Deer Creek,S36,2015,371,70,Wet,S36_371_2015_Wet,peak
Mill Creek,S11,2016,147B,71,Wet,S11_147B_2016_Wet,peak
Sweetwater,S02,2010,5,72,Wet,S02_5_2010_Wet,pre
Mill Creek,S11,2010,121,73,Wet,S11_121_2010_Wet,pre
O'Neil Creek,S16,2016,217,74,Wet,S16_217_2016_Wet,peak
Mill Creek,S11,2016,145B,75,Wet,S11_145B_2016_Wet,peak
Mill Creek,S11,2016,144,76,Wet,S11_144_2016_Wet,peak
Mill Creek,S11,2010,122,77,Wet,S11_122_2010_Wet,pre
Mill Creek,S11,2016,145A,78,Wet,S11_145A_2016_Wet,peak
Rock Creek,S15,2015,169,79,Wet,S15_169_2015_Wet,peak
West Fork,S07,2010,39A,80,Wet,S07_39A_2010_Wet,pre
West Fork,S07,2010,39A,81,Dry,S07_39A_2010_Dry,pre
Mill Creek,S11,2010,125,82,Dry,S11_125_2010_Dry,pre
Mill Creek,S11,2010,120,83,Dry,S11_120_2010_Dry,pre
O'Neil Creek,S16,2010,190,84,Dry,S16_190_2010_Dry,pre
Rock Creek,S15,2010,149,85,Dry,S15_149_2010_Dry,pre
Mill Creek,S11,2010,119,86,Dry,S11_119_2010_Dry,pre
West Fork,S07,2010,40,87,Dry,S07_40_2010_Dry,pre
West Fork,S07,2014,51,88,Dry,S07_51_2014_Dry,peak
Mill Creek,S11,2016,144,89,Dry,S11_144_2016_Dry,peak
Mill Creek,S11,2010,122,90,Dry,S11_122_2010_Dry,pre
Deer Creek,S36,2015,368,91,Dry,S36_368_2015_Dry,peak
Mill Creek,S11,2010,124,92,Dry,S11_124_2010_Dry,pre
West Fork,S07,2010,38A,93,Dry,S07_38A_2010_Dry,pre
Sweetwater,S02,2010,1,94,Dry,S02_1_2010_Dry,pre
West Fork,S07,2014,49,95,Dry,S07_49_2014_Dry,peak
Deer Creek,S36,2011,345,96,Dry,S36_345_2011_Dry,pre
O'Neil Creek,S16,2016,217,97,Dry,S16_217_2016_Dry,peak
O'Neil Creek,S16,2016,212,98,Dry,S16_212_2016_Dry,peak
O'Neil Creek,S16,2016,216,99,Dry,S16_216_2016_Dry,peak
West Fork,S07,2010,41,100,Dry,S07_41_2010_Dry,pre
O'Neil Creek,S16,2010,185,101,Dry,S16_185_2010_Dry,pre
Deer Creek,S36,2015,376,102,Dry,S36_376_2015_Dry,peak
Deer Creek,S36,2011,349,103,Dry,S36_349_2011_Dry,pre
Mill Creek,S11,2016,147A,104,Dry,S11_147A_2016_Dry,peak
O'Neil Creek,S16,2010,189,105,Dry,S16_189_2010_Dry,pre
Deer Creek,S36,2011,346,106,Dry,S36_346_2011_Dry,pre
O'Neil Creek,S16,2010,187,107,Dry,S16_187_2010_Dry,pre
Deer Creek,S36,2015,371,108,Dry,S36_371_2015_Dry,peak
Rock Creek,S15,2015,164,109,Dry,S15_164_2015_Dry,peak
O'Neil Creek,S16,2016,211,110,Dry,S16_211_2016_Dry,peak
O'Neil Creek,S16,2016,213,111,Dry,S16_213_2016_Dry,peak
Deer Creek,S36,2011,343,112,Dry,S36_343_2011_Dry,pre
Rock Creek,S15,2010,153,113,Dry,S15_153_2010_Dry,pre
West Fork,S07,2014,57,114,Dry,S07_57_2014_Dry,peak
Sweetwater,S02,2010,4,115,Dry,S02_4_2010_Dry,pre
Rock Creek,S15,2015,170,116,Dry,S15_170_2015_Dry,peak
Sweetwater,S02,2014,28,117,Dry,S02_28_2014_Dry,peak
West Fork,S07,2010,39B,118,Dry,S07_39B_2010_Dry,pre
Rock Creek,S15,2015,166,119,Dry,S15_166_2015_Dry,peak
Rock Creek,S15,2015,172,120,Dry,S15_172_2015_Dry,peak
Mill Creek,S11,2016,145A,121,Dry,S11_145A_2016_Dry,peak
Deer Creek,S36,2015,373,122,Dry,S36_373_2015_Dry,peak
Mill Creek,S11,2016,145B,123,Dry,S11_145B_2016_Dry,peak
Deer Creek,S36,2015,374,124,Dry,S36_374_2015_Dry,peak
Sweetwater,S02,2014,29,125,Dry,S02_29_2014_Dry,peak
Rock Creek,S15,2010,148,126,Dry,S15_148_2010_Dry,pre
Rock Creek,S15,2010,155,127,Dry,S15_155_2010_Dry,pre
Sweetwater,S02,2010,6,128,Dry,S02_6_2010_Dry,pre
Mill Creek,S11,2016,146A,129,Dry,S11_146A_2016_Dry,peak
Deer Creek,S36,2011,342,130,Dry,S36_342_2011_Dry,pre
Rock Creek,S15,2015,169,131,Dry,S15_169_2015_Dry,peak
West Fork,S07,2014,55,132,Dry,S07_55_2014_Dry,peak
Rock Creek,S15,2010,154,133,Dry,S15_154_2010_Dry,pre
West Fork,S07,2014,52,134,Dry,S07_52_2014_Dry,peak
O'Neil Creek,S16,2010,186,135,Dry,S16_186_2010_Dry,pre
Deer Creek,S36,2015,372,136,Dry,S36_372_2015_Dry,peak
Sweetwater,S02,2010,3,137,Dry,S02_3_2010_Dry,pre
Deer Creek,S36,2011,344,138,Dry,S36_344_2011_Dry,pre
O'Neil Creek,S16,2016,219,139,Dry,S16_219_2016_Dry,peak
O'Neil Creek,S16,2016,218,140,Dry,S16_218_2016_Dry,peak
West Fork,S07,2014,54,141,Dry,S07_54_2014_Dry,peak
Sweetwater,S02,2014,34,142,Dry,S02_34_2014_Dry,peak
Mill Creek,S11,2010,123,143,Dry,S11_123_2010_Dry,pre
Sweetwater,S02,2010,8,144,Dry,S02_8_2010_Dry,pre
Sweetwater,S02,2010,7,145,Dry,S02_7_2010_Dry,pre
Rock Creek,S15,2010,152,146,Dry,S15_152_2010_Dry,pre
West Fork,S07,2010,38B,147,Dry,S07_38B_2010_Dry,pre
Sweetwater,S02,2014,37,148,Dry,S02_37_2014_Dry,peak
Mill Creek,S11,2016,146B,149,Dry,S11_146B_2016_Dry,peak
O'Neil Creek,S16,2010,183,150,Dry,S16_183_2010_Dry,pre
O'Neil Creek,S16,2010,184,151,Dry,S16_184_2010_Dry,pre
Sweetwater,S02,2014,35,152,Dry,S02_35_2014_Dry,peak
Deer Creek,S36,2015,375,153,Dry,S36_375_2015_Dry,peak
Mill Creek,S11,2010,121,154,Dry,S11_121_2010_Dry,pre
Sweetwater,S02,2014,36,155,Dry,S02_36_2014_Dry,peak
Mill Creek,S11,2016,147B,156,Dry,S11_147B_2016_Dry,peak
Sweetwater,S02,2014,31,157,Dry,S02_31_2014_Dry,peak
Deer Creek,S36,2011,348,158,Dry,S36_348_2011_Dry,pre
Rock Creek,S15,2015,167,159,Dry,S15_167_2015_Dry,peak
Sweetwater,S02,2010,5,160,Dry,S02_5_2010_Dry,pre