"","Vcmax","Jmax","Rd","Ci.transition","Treatment","Year","Site","Rep","ID","PrePeak","Region"
"1","34.21715465","79.19822337","6.096889056","649.0934318","wet","2014","S02","1","28","peak","South"
"2","61.63470759","117.5342657","-5.073555114","410.7291872","wet","2010","S02","1","1","pre","South"
"3","2.75540885","16.98800271","-5.738136919","1999.999916","wet","2014","S02","1","35","peak","South"
"4","53.00148289","120.7783118","4.755498194","605.8306916","wet","2014","S02","1","29","peak","South"
"5","16.63287679","44.35074556","-7.977798059","993.9484166","wet","2010","S02","1","7","pre","South"
"6","80.42172823","137.9967216","-9.069263276","322.2571882","wet","2010","S02","1","8","pre","South"
"7","65.72316078","141.322696","5.632415841","515.8893286","wet","2014","S02","1","37","peak","South"
"8","69.49027173","149.8136994","2.054825993","512.570204","wet","2010","S02","1","6","pre","South"
"9","69.88468258","157.3098593","-3.875491327","558.829453","dry","2010","S02","1","4","pre","South"
"10","50.70243247","103.1147794","1.688933171","478.8562867","dry","2014","S02","1","28","peak","South"
"11","52.98052451","100.9198499","5.483141845","411.8595985","dry","2014","S02","1","29","peak","South"
"12","41.56601127","99.50572226","-5.288138466","700.7028239","dry","2010","S02","1","6","pre","South"
"13","53.79845263","107.3668969","-3.770595837","448.7816885","dry","2010","S02","1","3","pre","South"
"14","18.10019102","40.29345214","1.362620069","620.7133262","dry","2014","S02","1","34","peak","South"
"15","95.17515024","54.51772323","-11.52828584","44.99256167","dry","2010","S02","1","8","pre","South"
"16","64.00058253","131.4474554","5.6576958","472.6348847","dry","2010","S02","1","7","pre","South"
"17","45.47433499","92.71219028","1.470999246","482.076146","dry","2014","S02","1","37","peak","South"
"18","59.19702398","125.5153971","-5.064575086","511.2975275","dry","2014","S02","1","35","peak","South"
"19","60.00343616","124.058955","-5.01601589","466.4845923","dry","2014","S02","1","36","peak","South"
"20","13.92961057","32.11248165","1.309056038","678.6049486","dry","2014","S02","1","31","peak","South"
"21","47.94632373","93.58285206","4.5382759","443.4221759","dry","2010","S02","1","5","pre","South"
"22","77.8630235","118.2172836","3.130121613","256.8125212","wet","2014","S07","1","54","peak","South"
"23","43.53253583","90.062765","7.628324058","505.3835138","wet","2014","S07","1","57","peak","South"
"24","115.2372352","116.8352313","-10.72864831","108.5007027","wet","2014","S07","1","51","peak","South"
"25","62.02019306","90.54566852","-15.11026412","244.4744368","wet","2010","S07","1","41","pre","South"
"26","58.86533672","118.1493289","5.130265848","457.6323601","wet","2010","S07","1","40","pre","South"
"27","-0.06818964","22.37178175","-14.1777763","45.01801115","wet","2014","S07","1","52","peak","South"
"28","56.17244604","94.32222406","-8.174230437","324.2714368","wet","2010","S07","1","38B","pre","South"
"29","53.37399841","114.6849992","11.56337488","534.0723823","wet","2014","S07","1","49","peak","South"
"30","66.10808992","107.8358529","-12.87781059","301.0004564","wet","2010","S07","1","38A","pre","South"
"31","58.57195443","111.4154579","-5.523434601","411.5623464","dry","2010","S07","1","41","pre","South"
"32","50.12325258","80.14524198","-3.91082084","297.2001249","dry","2014","S07","1","57","peak","South"
"33","48.18312539","91.88136803","3.819878421","422.9788161","dry","2010","S07","1","39B","pre","South"
"34","60.95062389","102.4325666","-5.380001313","316.7198187","dry","2014","S07","1","55","peak","South"
"35","64.01988305","127.7543533","-4.625342365","446.756308","dry","2014","S07","1","52","peak","South"
"36","64.33954531","115.202226","-5.444823842","361.507936","dry","2014","S07","1","54","peak","South"
"37","48.25906189","94.14138566","1.41069574","443.0419606","dry","2010","S07","1","38B","pre","South"
"38","52.98987101","111.2630466","-3.035477536","509.3593589","wet","2010","S11","1","124","pre","South"
"39","71.30762635","125.8624332","6.844625763","342.2211136","wet","2016","S11","1","146A","peak","South"
"40","102.1799217","160.7528627","3.039132757","261.7459705","wet","2010","S11","1","123","pre","South"
"41","70.40550002","124.1540129","-8.112543457","346.5256727","wet","2010","S11","1","119","pre","South"
"42","92.93203255","145.3453167","2.005970204","263.8823417","wet","2010","S11","1","120","pre","South"
"43","16.59285108","32.4876819","-1.610351862","472.3982155","wet","2016","S11","1","147A","peak","South"
"44","33.04841315","68.06014656","4.339407619","512.6476155","dry","2016","S11","1","147A","peak","South"
"45","44.44088296","92.35623065","5.331297421","509.0390775","dry","2016","S11","1","145A","peak","South"
"46","51.20640802","101.5201804","5.992392315","455.0817725","dry","2016","S11","1","145B","peak","South"
"47","66.65342626","134.0412198","-3.82118118","440.6452578","dry","2016","S11","1","146A","peak","South"
"48","61.65038579","131.8856938","-4.712808944","517.2396155","dry","2010","S11","1","123","pre","South"
"49","71.07673763","135.5849634","1.871164679","401.8052395","dry","2016","S11","1","146B","peak","South"
"50","60.81276764","117.0469702","-5.2446289","419.3595412","dry","2010","S11","1","121","pre","South"
"51","68.83449505","132.4417467","-4.6233454","396.6947344","dry","2016","S11","1","147B","peak","South"
"52","62.31112242","112.7517168","1.713035308","370.3362506","wet","2010","S15","1","149","pre","North"
"53","53.26019554","115.5501467","1.451817698","544.7659187","wet","2010","S15","1","148","pre","North"
"54","54.63665014","97.65743298","4.018984656","366.9731714","wet","2015","S15","1","172","peak","North"
"55","40.88035658","88.54223126","-3.444630398","560.3006805","wet","2010","S15","1","152","pre","North"
"56","90.95838625","158.9070362","2.5706972","324.9389005","wet","2015","S15","1","167","peak","North"
"57","74.02201618","139.5680219","-5.909829663","390.7576184","wet","2010","S15","1","155","pre","North"
"58","98.58189542","149.4273635","1.792200631","246.1679539","wet","2015","S15","1","170","peak","North"
"59","82.12678391","160.5072476","2.026343629","409.1238048","wet","2010","S15","1","153","pre","North"
"60","71.35692195","140.1869257","1.963397618","425.4003417","wet","2015","S15","1","164","peak","North"
"61","71.84163403","130.6593038","2.833851567","366.1215346","wet","2015","S15","1","166","peak","North"
"62","47.01988539","108.3954138","1.918184038","621.8375499","dry","2015","S15","1","164","peak","North"
"63","65.99287529","110.7634348","3.648149285","317.5538464","dry","2010","S15","1","153","pre","North"
"64","75.22604774","137.5388969","2.614025426","367.1232983","dry","2015","S15","1","170","peak","North"
"65","60.97013293","111.0842324","1.930800752","376.101118","dry","2015","S15","1","166","peak","North"
"66","67.02503061","113.4212471","5.121426315","322.0398198","dry","2015","S15","1","172","peak","North"
"67","78.80178476","156.1826072","-4.632307952","424.1676862","dry","2010","S15","1","148","pre","North"
"68","44.53884777","84.86970199","4.881008354","420.0017721","dry","2010","S15","1","155","pre","North"
"69","69.90724087","137.8388382","5.706797073","423.4991382","dry","2015","S15","1","169","peak","North"
"70","55.95153674","93.04007984","3.52994793","317.7279309","dry","2010","S15","1","154","pre","North"
"71","56.05504685","111.3218435","-5.314341703","451.4813732","dry","2010","S15","1","152","pre","North"
"72","60.95762468","112.7047439","-4.205519785","387.0333761","dry","2015","S15","1","167","peak","North"
"73","55.39282925","116.2652615","5.579064037","505.2521835","wet","2016","S16","1","213","peak","North"
"74","80.87885568","163.5608357","-4.172327811","437.3751731","wet","2010","S16","1","185","pre","North"
"75","42.1318489","93.43113069","5.510864947","577.6100957","wet","2010","S16","1","190","pre","North"
"76","71.68191242","115.5949926","4.754085298","287.7227201","wet","2010","S16","1","186","pre","North"
"77","39.73190598","103.7190994","-7.725988023","847.8397775","wet","2016","S16","1","218","peak","North"
"78","44.71381215","75.87614225","-5.743873251","337.1925448","wet","2016","S16","1","216","peak","North"
"79","77.36975021","158.9027074","5.509130538","455.6979694","wet","2010","S16","1","187","pre","North"
"80","61.92853891","101.3237401","-14.58793682","305.0488904","wet","2010","S16","1","184","pre","North"
"81","28.15148081","49.12314103","-1.760905867","366.5167341","wet","2010","S16","1","189","pre","North"
"82","68.43918839","137.1002009","-3.383470372","435.1535349","dry","2010","S16","1","185","pre","North"
"83","82.96288453","155.2728304","-4.952706683","376.4896709","dry","2010","S16","1","189","pre","North"
"84","53.76742118","111.1825397","-3.494817173","481.7766848","dry","2010","S16","1","187","pre","North"
"85","54.85704319","113.6702813","-2.956161598","492.9818898","dry","2016","S16","1","211","peak","North"
"86","54.62643586","109.0207497","-4.273581715","440.8590354","dry","2016","S16","1","213","peak","North"
"87","58.01910555","124.4612427","-4.411292063","525.7309944","dry","2010","S16","1","186","pre","North"
"88","78.00332947","133.408021","1.921556889","317.8654061","dry","2016","S16","1","219","peak","North"
"89","48.49067595","100.5766892","1.817155342","501.9547761","dry","2016","S16","1","218","peak","North"
"90","39.51843405","72.02249566","-8.275406772","393.0120212","dry","2010","S16","1","183","pre","North"
"91","52.39316549","106.7376585","-3.605073545","479.1203794","dry","2010","S16","1","184","pre","North"
"92","55.75808742","99.83958322","-5.163814851","367.6700722","wet","2011","S36","1","343","pre","North"
"93","59.53075218","121.1031911","-4.894338687","452.3575054","wet","2011","S36","1","344","pre","North"
"94","53.05781948","121.800036","-3.965051566","615.5029841","wet","2015","S36","1","375","peak","North"
"95","56.05371279","107.3788366","1.907565539","419.3685374","wet","2011","S36","1","345","pre","North"
"96","69.69606556","140.3388826","-4.850414407","448.3843401","wet","2011","S36","1","346","pre","North"
"97","66.77181391","127.198729","4.969199244","404.9055033","wet","2015","S36","1","373","peak","North"
"98","21.60371581","28.63693933","-2.415675662","212.6004218","wet","2011","S36","1","348","pre","North"
"99","49.33365368","91.19134072","-11.49842486","396.8598218","wet","2011","S36","1","342","pre","North"
"100","31.33693502","47.47767064","-1.994039131","274.7379078","wet","2015","S36","1","376","peak","North"
"101","64.92103122","123.2863851","-3.52818397","404.275687","dry","2015","S36","1","376","peak","North"
"102","64.2221527","121.2094913","-4.249455116","392.5492117","dry","2011","S36","1","349","pre","North"
"103","62.01287209","130.2614928","-3.463230453","497.2125857","dry","2011","S36","1","346","pre","North"
"104","89.41296692","173.8834908","1.8163932","397.0378359","dry","2015","S36","1","371","peak","North"
"105","53.249238","108.4042276","1.824260096","477.6899856","dry","2011","S36","1","343","pre","North"
"106","67.0666978","124.2435067","1.42928266","379.6850587","dry","2015","S36","1","373","peak","North"
"107","63.5947378","125.6423334","5.013921108","438.2444773","dry","2015","S36","1","374","peak","North"
"108","70.5671807","136.7023686","-4.311651474","406.4673056","dry","2011","S36","1","342","pre","North"
"109","98.38869399","192.4562285","2.253899605","385.7396969","dry","2015","S36","1","372","peak","North"
"110","68.10594141","122.124507","2.389475748","358.9279571","dry","2011","S36","1","344","pre","North"
"111","46.85879992","91.95890919","-7.093548079","434.5999021","dry","2015","S36","1","375","peak","North"
"112","65.12044298","95.77870128","1.979000428","245.9990433","dry","2011","S36","1","348","pre","North"
"113","57.29945155","117.3721251","0.820308493","478.7382144","wet","2010","S02","2","1","pre","South"
"114","55.07302407","105.8311127","-1.885864486","422.5292436","dry","2010","S02","2","3","pre","South"
"115","44.5697525","95.01812961","0.295604293","537.3468725","wet","2010","S02","2","3","pre","South"
"116","66.0793829","128.7083045","-0.718952631","424.1954335","wet","2010","S02","2","4","pre","South"
"117","53.59474755","115.1976202","-0.53311813","534.2097475","wet","2010","S02","2","5","pre","South"
"118","56.10582356","117.2866786","0.963434426","501.316925","dry","2010","S02","2","6","pre","South"
"119","51.24767168","110.6933455","1.293475504","543.039415","wet","2010","S02","2","6","pre","South"
"120","49.0939208","108.9709395","-1.284255909","578.9337163","dry","2010","S02","2","7","pre","South"
"121","78.0723446","117.2036515","-2.107990852","251.3234366","wet","2010","S02","2","7","pre","South"
"122","66.54509769","135.5613527","1.245443576","461.8439779","dry","2010","S02","2","8","pre","South"
"123","60.39961062","131.8863589","1.012649158","540.9851749","wet","2010","S02","2","8","pre","South"
"124","52.14994031","111.4315224","0.534919705","529.4391621","dry","2014","S02","2","28","peak","South"
"125","41.61600298","92.36495651","0.868214531","590.4168608","wet","2014","S02","2","28","peak","South"
"126","37.87158019","95.03482318","-0.817149694","789.5124472","dry","2014","S02","2","29","peak","South"
"127","48.6900724","102.1667717","0.913725101","514.094118","wet","2014","S02","2","29","peak","South"
"128","51.1445583","106.0360326","-0.304105182","498.4860517","wet","2014","S02","2","30","peak","South"
"129","66.33418522","136.4379058","1.628942246","471.353054","dry","2014","S02","2","32","peak","South"
"130","42.93595305","98.1219672","0.235368356","627.0056908","wet","2014","S02","2","32","peak","South"
"131","60.32750977","116.1808918","0.841064838","420.0264919","dry","2014","S02","2","35","peak","South"
"132","52.61297488","107.1239998","-0.07655425","478.5870988","wet","2014","S02","2","35","peak","South"
"133","65.13889378","120.1415434","-1.229514616","382.4244978","dry","2014","S02","2","36","peak","South"
"134","87.49750719","130.3085434","-2.370692118","243.5980017","wet","2014","S02","2","36","peak","South"
"135","51.81204992","101.8799764","0.953138598","446.7652817","dry","2014","S02","2","37","peak","South"
"136","48.15431276","98.86381974","0.395493897","492.4248966","wet","2014","S02","2","37","peak","South"
"137","64.89435917","147.008757","-0.82275034","577.0149127","dry","2010","S07","2","38a","pre","South"
"138","94.94438207","131.6923981","-1.744178313","210.133419","wet","2010","S07","2","38a","pre","South"
"139","61.74519975","125.6279859","-2.603224826","467.2865722","dry","2010","S07","2","38b","pre","South"
"140","64.79655121","143.5541363","1.032428735","550.6144333","wet","2010","S07","2","38b","pre","South"
"141","69.65621262","152.7485242","1.530170853","530.8482685","dry","2010","S07","2","39a","pre","South"
"142","46.03745785","102.7112692","0.018285809","590.6028402","wet","2010","S07","2","39a","pre","South"
"143","63.45652274","118.494861","2.215446848","392.9679681","wet","2010","S07","2","39b","pre","South"
"144","59.48482918","129.5210107","-1.460306229","539.3777854","dry","2010","S07","2","40","pre","South"
"145","37.2466439","130.1566496","2.540255002","1999.999893","wet","2010","S07","2","40","pre","South"
"146","55.17622252","109.4744325","-1.605271737","450.5510896","dry","2010","S07","2","41","pre","South"
"147","53.75952596","112.4299246","-0.886659182","504.0215172","wet","2010","S07","2","41","pre","South"
"148","60.34637501","126.3401152","0.269882948","496.1002658","wet","2014","S07","2","49","peak","South"
"149","63.16742682","122.5513655","-2.204271097","423.3344248","dry","2014","S07","2","51","peak","South"
"150","49.83200694","109.5027538","-0.635047892","565.644063","wet","2014","S07","2","51","peak","South"
"151","73.35917655","146.1239255","0.560852526","433.9797205","dry","2014","S07","2","52","peak","South"
"152","61.40428808","124.5840119","1.011223301","464.6109044","wet","2014","S07","2","52","peak","South"
"153","62.38999908","124.3019101","0.743874019","446.8615899","dry","2014","S07","2","54","peak","South"
"154","44.33680301","100.2835471","0.632387323","611.0814186","wet","2014","S07","2","54","peak","South"
"155","65.04326378","101.3642376","-2.157586257","276.0550635","dry","2014","S07","2","55","peak","South"
"156","38.7519479","89.05359377","0.76211791","643.3517151","wet","2014","S07","2","55","peak","South"
"157","70.55085904","115.8990313","-1.589002606","302.365557","dry","2014","S07","2","57","peak","South"
"158","49.25078536","91.81725774","0.55616113","403.4290245","wet","2014","S07","2","57","peak","South"
"159","68.92694112","128.6158968","-2.447728929","387.2654293","dry","2010","S11","2","119","pre","South"
"160","58.90566878","120.3925175","-1.228037056","474.4185944","wet","2010","S11","2","119","pre","South"
"161","77.90289842","127.8955836","0.356466057","297.7251629","dry","2010","S11","2","120","pre","South"
"162","75.39987702","158.1731875","0.441691817","477.6647759","wet","2010","S11","2","120","pre","South"
"163","53.20371332","97.40854358","-3.419682764","386.3454465","dry","2010","S11","2","121","pre","South"
"164","66.51481278","132.5197496","-0.83828251","442.1486418","wet","2010","S11","2","121","pre","South"
"165","63.72372778","119.8180873","1.433488816","398.2227293","dry","2010","S11","2","122","pre","South"
"166","68.34191461","128.3271592","2.110454922","392.3851305","wet","2010","S11","2","122","pre","South"
"167","59.67985011","129.1847006","0.729908953","532.5162968","dry","2010","S11","2","123","pre","South"
"168","86.44392549","136.1784587","-0.001377815","270.794588","wet","2010","S11","2","123","pre","South"
"169","57.7847839","109.1728626","0.454485465","406.9157469","dry","2010","S11","2","124","pre","South"
"170","61.39710874","123.7666669","1.076271257","457.011883","wet","2010","S11","2","124","pre","South"
"171","55.63044178","116.0185624","-0.819131423","499.0306002","dry","2010","S11","2","125","pre","South"
"172","424.4687601","113.2184428","-5.249473979","44.97525254","wet","2010","S11","2","125","pre","South"
"173","66.1718721","129.311638","0.557159362","426.6093192","dry","2016","S11","2","144","peak","South"
"174","61.19965434","131.201665","0.832506984","520.4411763","wet","2016","S11","2","144","peak","South"
"175","54.81248445","108.2910217","0.192573683","448.1663045","dry","2016","S11","2","145a","peak","South"
"176","76.92738336","121.5990627","-0.437300461","277.5764208","wet","2016","S11","2","145a","peak","South"
"177","73.61978454","114.4198883","-0.432123108","270.4862591","dry","2016","S11","2","145b","peak","South"
"178","62.63974323","117.5041015","0.369945195","396.5186011","wet","2016","S11","2","145b","peak","South"
"179","63.6869211","125.4005269","-1.103008053","435.570039","dry","2016","S11","2","146a","peak","South"
"180","64.92726824","138.6192847","-1.043456953","511.6002392","wet","2016","S11","2","146a","peak","South"
"181","53.99332047","105.8870942","-0.689325207","442.0161392","dry","2016","S11","2","146b","peak","South"
"182","69.05983156","134.8150879","0.695789938","421.9936808","wet","2016","S11","2","146b","peak","South"
"183","79.97598048","127.7895317","1.433006823","281.7605897","dry","2016","S11","2","147a","peak","South"
"184","67.69207761","126.6040221","2.042073829","389.4975235","wet","2016","S11","2","147a","peak","South"
"185","63.01080321","97.21841006","-2.370149864","271.5696193","dry","2016","S11","2","147b","peak","South"
"186","64.93130607","124.1040538","-1.708132662","409.2349157","wet","2016","S11","2","147b","peak","South"
"187","38.25073266","83.82408895","-1.46162511","578.0614809","dry","2010","S15","2","148","pre","North"
"188","53.66800382","110.5460415","0.532208857","488.7213266","wet","2010","S15","2","148","pre","North"
"189","38.18699284","87.2894457","1.342374356","635.1609935","dry","2010","S15","2","149","pre","North"
"190","74.57866308","121.1090004","-1.65928775","293.1849793","wet","2010","S15","2","149","pre","North"
"191","45.6576875","96.46943233","1.071819409","525.1770036","dry","2010","S15","2","152","pre","North"
"192","71.80281302","145.05036","0.74075578","448.6564042","wet","2010","S15","2","152","pre","North"
"193","53.67672558","107.8822423","0.761527628","464.7569724","dry","2010","S15","2","153","pre","North"
"194","65.28469035","132.6365364","0.631252552","461.4994504","wet","2010","S15","2","153","pre","North"
"195","49.72492486","108.700696","-1.909863021","558.3255661","dry","2010","S15","2","154","pre","North"
"196","37.47660375","74.85445767","0.141489609","476.2758929","wet","2010","S15","2","154","pre","North"
"197","69.85830975","139.4488295","0.024809416","440.5052895","dry","2010","S15","2","155","pre","North"
"198","56.69049095","140.1775866","2.689714107","716.486098","wet","2010","S15","2","155","pre","North"
"199","64.01278285","129.9454774","-1.397322168","461.8955422","dry","2015","S15","2","164","peak","North"
"200","54.22843476","111.1748959","0.889902053","483.3649694","wet","2015","S15","2","164","peak","North"
"201","47.5241465","93.70700434","-2.672089797","453.7488043","dry","2015","S15","2","166","peak","North"
"202","58.66618802","124.8559609","0.628086833","515.6924693","wet","2015","S15","2","166","peak","North"
"203","28.11481156","67.57233988","1.062424598","734.4964021","dry","2015","S15","2","167","peak","North"
"204","67.04730769","137.6313348","0.634490166","468.692359","wet","2015","S15","2","167","peak","North"
"205","43.870375","104.5393533","0.100632561","686.4504506","dry","2015","S15","2","169","peak","North"
"206","63.74786914","129.823888","2.297320326","465.0872787","wet","2015","S15","2","169","peak","North"
