Treatment,Rep,Timeline,Fs,Fm',PhiPS2,ETR,PhiCO2,NPQ,A,Year,PrePeak,Site,Fv.Fm.,Region
dry,2,30,283.4,443,0.36,181.8,0.03,,32.3,2014,Peak,S02,0.36027088,South
dry,3,36,283.8,441.6,0.36,180.28,0.03,,33.74,2014,Peak,S02,0.357336957,South
dry,3,7,273.2,415.1,0.34,172.5,0.03,,28.32,2010,Pre,S02,0.341845338,South
dry,3,3,252.2,381.8,0.34,171.25,0.03,,29.17,2010,Pre,S02,0.339444735,South
dry,3,1,279.5,417.5,0.33,166.8,0.03,,32.71,2010,Pre,S02,0.330538922,South
dry,3,29,257.2,372,0.31,155.74,0.03,,26.67,2014,Peak,S02,0.308602151,South
dry,3,35,241.5,345.9,0.3,152.24,0.03,,24.96,2014,Peak,S02,0.301821336,South
dry,2,1,269.5,376.2,0.28,143.14,0.02,,23.95,2010,Pre,S02,0.283625731,South
dry,1,4,259.449,354.45,0.268,135.2,0.0359,0.488,35.8,2010,Pre,S02,0.268023699,South
dry,2,8,328.6,447,0.26,133.63,0.03,4.57,26.63,2010,Pre,S02,0.264876957,South
dry,3,31,267.7,363.8,0.26,133.24,0.03,,26.21,2014,Peak,S02,0.26415613,South
dry,1,5,234.85,318.121,0.2618,132.1,0.0204,2.163,20.5,2010,Pre,S02,0.26175889,South
dry,3,6,255.7,345.4,0.25,126.71,0.03,,25.58,2010,Pre,S02,0.2596989,South
dry,3,8,288.4,388.1,0.26,129.56,0.03,,26.22,2010,Pre,S02,0.256892553,South
dry,2,32,300,403.1,0.26,129.05,0.03,5.18,24.84,2014,Peak,S02,0.2557678,South
dry,2,36,310.3,416.3,0.25,128.47,0.03,1.89,26.02,2014,Peak,S02,0.254624069,South
dry,3,28,288.7,387.2,0.25,128.35,0.03,,28.17,2014,Peak,S02,0.254390496,South
dry,3,35,274.8,365.5,0.25,125.15,0.02,,20.7,2014,Peak,S02,0.248153215,South
dry,1,36,223.464,296.552,0.2465,124.3,0.0309,-1,29.8,2014,Peak,S02,0.246459306,South
dry,1,8,258.88,343.207,0.2457,124,0.0325,-1,31.9,2010,Pre,S02,0.245703031,South
dry,1,31,250.694,331.477,0.2437,123,0.0361,0.591,36.1,2014,Peak,S02,0.2437062,South
dry,1,34,236.393,311.272,0.2406,121.4,0.0151,2.555,15.5,2014,Peak,S02,0.240558097,South
dry,1,7,219.748,289.269,0.2403,121.3,0.0176,2.502,17.9,2010,Pre,S02,0.240333392,South
dry,3,37,259.2,340.6,0.24,120.56,0.02,,18.17,2014,Peak,S02,0.238990018,South
dry,1,29,223.336,289.377,0.2282,115.2,0.0242,-1,22.9,2014,Peak,S02,0.228217861,South
dry,1,6,241.943,309.358,0.2179,110,0.0166,2.296,16,2010,Pre,S02,0.217919045,South
dry,2,3,295.4,376.2,0.21,108.31,0.02,2.2,24.18,2010,Pre,S02,0.214779373,South
dry,2,35,306.5,389.6,0.21,107.65,0.02,5.39,22.04,2014,Peak,S02,0.213295688,South
dry,2,28,271.6,344.8,0.21,107.2,0.02,6.22,23.34,2014,Peak,S02,0.212296984,South
dry,1,1,268.951,339.734,0.2083,105.1,0.0333,0.552,32.8,2010,Pre,S02,0.208348296,South
dry,2,6,339.5,425.4,0.2,101.93,0.02,4.85,21.45,2010,Pre,S02,0.201927598,South
dry,3,4,290.5,364,0.2,101.89,0.02,,19.29,2010,Pre,S02,0.201923077,South
dry,2,29,289.7,361.9,0.2,1005.9,0.02,2.33,22.14,2014,Peak,S02,0.199502625,South
dry,2,7,336.7,419.6,0.2,99.6,0.03,2.02,25.62,2010,Pre,S02,0.197569113,South
dry,1,35,247.162,306.911,0.1947,98.2,0.0276,-1,26.8,2014,Peak,S02,0.194678588,South
dry,1,3,208.434,258.477,0.1936,97.7,0.0315,1.04,31,2010,Pre,S02,0.193607168,South
dry,2,37,258.8,319,0.19,95.15,0.02,6.81,20.23,2014,Peak,S02,0.188714734,South
dry,1,37,249.66,302.552,0.1748,88.2,0.0264,-1,25.4,2014,Peak,S02,0.174819535,South
dry,1,28,234.017,276.634,0.1541,77.7,0.0229,0.906,23.2,2014,Peak,S02,0.154055539,South
wet,1,28,240.18,304.491,0.2138,107.1,0.0309,0.726,30.9,2014,Peak,S02,0.211208213,South
wet,1,29,515.142,841.959,0.3882,196,0.8184,-1,1.17,2014,Peak,S02,0.388162606,South
wet,3,1,268.9,374.5,0.28,142.32,0.03,,26.68,2010,Pre,S02,0.281975968,South
wet,3,31,274.9,380.9,0.28,140.39,0.02,,23.72,2014,Peak,S02,0.278288265,South
wet,2,8,240.2,332.3,0.28,139.93,0.03,6.49,26.79,2010,Pre,S02,0.277159193,South
wet,3,7,282.9,391.2,0.28,139.64,0.03,,24.89,2010,Pre,S02,0.276840491,South
wet,3,4,322.2,439.8,0.27,134.9,0.03,,27.14,2010,Pre,S02,0.26739427,South
wet,2,1,258.2,350.3,0.26,132.64,0.02,6.11,23.57,2010,Pre,S02,0.262917499,South
wet,1,4,270.911,366.889,0.2616,132,0.0269,-1,26.3,2010,Pre,S02,0.261599557,South
wet,2,30,232,313.2,0.26,130.88,0.02,3.12,12.37,2014,Peak,S02,0.259259259,South
wet,2,36,272.5,366.7,0.26,129.62,0.03,2.6,28.58,2014,Peak,S02,0.256885738,South
wet,3,3,263.2,353.2,0.25,128.5,0.02,,25.03,2010,Pre,S02,0.254813137,South
wet,2,5,263.5,351.1,0.25,125.88,0.03,2.68,26.12,2010,Pre,S02,0.249501567,South
wet,3,6,276.9,367.3,0.25,124.17,0.02,,22.99,2010,Pre,S02,0.246120338,South
wet,3,8,267.2,353.9,0.24,123.64,0.03,,26.78,2010,Pre,S02,0.244984459,South
wet,2,7,262.9,348.2,0.25,123.73,0.03,2.79,26.68,2010,Pre,S02,0.244974153,South
wet,2,6,223.9,295.7,0.24,122.48,0.02,7.42,22.03,2010,Pre,S02,0.242813662,South
wet,1,8,238.58,312.595,0.2368,119.5,0.0241,-1,23.3,2010,Pre,S02,0.23677602,South
wet,1,3,276.17,360.104,0.2331,117.6,0.0322,-1,31.1,2010,Pre,S02,0.233082665,South
wet,3,36,233,302.9,0.23,116.35,0.02,,18.04,2014,Peak,S02,0.230769231,South
wet,2,29,248.9,322.5,0.23,115.25,0.02,2.93,21.12,2014,Peak,S02,0.228217054,South
wet,2,3,209.1,268.7,0.22,111.92,0.02,3.71,21.38,2010,Pre,S02,0.221808709,South
wet,3,35,287.3,367,0.22,109.68,0.02,,21.45,2014,Peak,S02,0.217166213,South
wet,3,29,244.9,310.8,0.21,106.9,0.02,,21.83,2014,Peak,S02,0.212033462,South
wet,2,37,243.8,308.4,0.21,105.67,0.02,7.08,19.72,2014,Peak,S02,0.209468223,South
wet,3,35,222.1,280.9,0.21,105.73,0.01,,13.69,2014,Peak,S02,0.209327163,South
wet,1,35,251.13,317.578,0.2092,105.6,0.0138,3.221,13.4,2014,Peak,S02,0.209233637,South
wet,1,5,256.716,324.082,0.2079,104.9,0.0146,2.156,14.7,2010,Pre,S02,0.207867145,South
wet,2,32,253.7,318.4,0.2,102.62,0.02,2.85,21.79,2014,Peak,S02,0.203203518,South
wet,1,36,285.26,355.212,0.1969,99.4,0.0269,-1,26.7,2014,Peak,S02,0.196930284,South
wet,3,28,301.8,375.3,0.2,98.74,0.02,,22.55,2014,Peak,S02,0.195843325,South
wet,2,35,318.3,395.6,0.2,98.59,0.02,2.1,23.58,2014,Peak,S02,0.195399393,South
wet,2,28,278.6,341.6,0.18,93.01,0.02,6.29,19.07,2014,Peak,S02,0.18442623,South
wet,1,37,263.242,320.484,0.1786,90.1,0.0207,-1,19.8,2014,Peak,S02,0.178611101,South
wet,1,1,305.697,368.728,0.1709,86.3,0.0297,0.43,30.2,2010,Pre,S02,0.170941724,South
wet,1,6,319.34,379.102,0.1576,79.5,0.025,-1,24.2,2010,Pre,S02,0.157640952,South
wet,1,7,430.683,506.104,0.149,75.2,0.0289,-1,27.6,2010,Pre,S02,0.149022731,South
wet,1,31,287.663,331.075,0.1311,66.2,0.0256,0.593,25.3,2014,Peak,S02,0.131124368,South
wet,1,34,375.82,426.742,0.1193,60.2,0.0229,-1,21.1,2014,Peak,S02,0.119327369,South
wet,3,37,285.4,319.3,0.11,53.61,0.01,,6.02,2014,Peak,S02,0.106169746,South
wet,2,4,274,303.2,0.25,123.97,0.03,2.37,27.67,2010,Pre,S02,0.096306069,South
dry,2,39B,282.6,492.1,0.43,214.83,0.04,,41.35,2010,Pre,S07,0.425726478,South
dry,1,39B,247.044,378.399,0.345,175.3,0.0411,-1,39.9,2010,Pre,S07,0.347133581,South
dry,1,51,208.129,309.634,0.3278,105.4,0.0257,2.293,25.5,2014,Peak,S07,0.327822526,South
dry,3,38B,295.1,435.8,0.32,162.91,0.03,,28.51,2010,Pre,S07,0.32285452,South
dry,3,38A,290,427.6,0.32,162.31,0.03,,31.14,2010,Pre,S07,0.321796071,South
dry,3,39A,252.7,366.3,0.31,156.54,0.03,,25.96,2010,Pre,S07,0.31012831,South
dry,3,52,262.6,379.2,0.31,155.18,0.03,,26.02,2014,Peak,S07,0.307489451,South
dry,3,40,303,435.7,0.3,153.62,0.03,,30.2,2010,Pre,S07,0.304567363,South
dry,3,39B,271.4,389.1,0.3,152.6,0.03,,28.53,2010,Pre,S07,0.302492932,South
dry,1,49,239.284,341.64,0.2996,151.2,0.0319,-1,31.8,2014,Peak,S07,0.29960192,South
dry,3,49,291.9,415.7,0.3,150.26,0.03,,27.23,2014,Peak,S07,0.297810921,South
dry,2,52,274.5,389.4,0.3,148.96,0.03,5.4,28.7,2014,Peak,S07,0.295069337,South
dry,3,51,267.9,378.7,0.29,147.59,0.03,,26.79,2014,Peak,S07,0.292579879,South
dry,2,38A,287.3,405.5,0.29,147.12,0.03,2.13,32.38,2010,Pre,S07,0.291491985,South
dry,1,40,226.323,314.531,0.2804,141.5,0.0208,2.221,20.6,2010,Pre,S07,0.280442945,South
dry,2,39A,297.1,410.4,0.28,139.32,0.03,5.07,27.25,2010,Pre,S07,0.276072125,South
dry,1,41,196.555,269.353,0.2703,136.4,0.0345,0.957,35.2,2010,Pre,S07,0.270269869,South
dry,3,41,276.6,376.1,0.26,133.54,0.02,,22.97,2010,Pre,S07,0.264557299,South
dry,1,38B,222.871,300.398,0.2581,130.2,0.0352,0.755,36,2010,Pre,S07,0.258080946,South
dry,1,38A,208.66,280.0118,0.2551,128.7,0.0194,2.64,19.3,2010,Pre,S07,0.254817118,South
dry,2,38B,297.6,399.2,0.25,128.52,0.03,2.31,27.83,2010,Pre,S07,0.254509018,South
dry,3,57,252.3,337.9,0.25,127.77,0.02,,21.53,2014,Peak,S07,0.253329387,South
dry,1,57,211.787,282.014,0.249,125.7,0.0369,0.87,37.5,2014,Peak,S07,0.249019552,South
dry,2,49,295.8,391.7,0.24,123.54,0.03,2.24,27.25,2014,Peak,S07,0.244830227,South
dry,2,51,279.8,369.7,0.24,122.78,0.03,2.57,28.6,2014,Peak,S07,0.243170138,South
dry,2,40,316.1,417.5,0.24,122.57,0.03,2.04,28.27,2010,Pre,S07,0.242874251,South
dry,2,54,285.1,375.8,0.24,121.83,0.02,5.63,22.94,2014,Peak,S07,0.241351783,South
dry,2,57,297.3,388.4,0.23,118.36,0.03,2.4,26.13,2014,Peak,S07,0.234552008,South
dry,2,41,297.9,388.1,0.23,117.21,0.02,2.1,22.77,2010,Pre,S07,0.232414326,South
dry,3,55,293.1,376.2,0.22,111.37,0.02,,23.86,2014,Peak,S07,0.220893142,South
dry,3,54,282.5,357.7,0.21,106.11,0.02,,19.3,2014,Peak,S07,0.210232038,South
dry,2,55,302.9,375,0.19,97.07,0.02,2.52,23.94,2014,Peak,S07,0.192266667,South
dry,1,52,250.41,306.652,0.1834,92.5,0.0303,0.719,31,2014,Peak,S07,0.183406598,South
dry,1,55,219.555,267.624,0.1834,92.5,0.0258,-1,24.7,2014,Peak,S07,0.179613936,South
dry,1,54,237.056,287.036,0.1752,879,0.0305,0.837,30.3,2014,Peak,S07,0.1741245,South
dry,1,39A,211.972,255.178,0.1693,85.4,0.0112,2.946,10.4,2010,Pre,S07,0.169317104,South
wet,3,40,252.9,416.5,0.39,198.19,0.03,,35.25,2010,Pre,S07,0.392797119,South
wet,3,52,242.5,387.2,0.37,188.55,0.03,,32.14,2014,Peak,S07,0.373708678,South
wet,3,38A,254.3,381.3,0.33,168.07,0.03,,29.83,2010,Pre,S07,0.333071073,South
wet,3,39B,287.6,423.9,0.32,162.25,0.03,,31.8,2010,Pre,S07,0.321538099,South
wet,3,41,280,408.5,0.31,158.51,0.03,,28.04,2010,Pre,S07,0.314565483,South
wet,3,54,252.3,365.6,0.31,156.45,0.03,,29.59,2014,Peak,S07,0.309901532,South
wet,3,39A,267.7,385.2,0.31,153.99,0.03,,27.09,2010,Pre,S07,0.305036345,South
wet,3,57,247.8,354.4,0.3,151.76,0.03,,25.5,2014,Peak,S07,0.300790068,South
wet,2,38B,256.9,367.2,0.3,151.52,0.03,5.78,29.22,2010,Pre,S07,0.300381264,South
wet,3,38B,306.6,437.3,0.3,150.81,0.03,,28.27,2010,Pre,S07,0.298879488,South
wet,3,55,269.8,382.7,0.3,148.9,0.03,,25.32,2014,Peak,S07,0.295009146,South
wet,2,38A,254.6,360.3,0.29,148,0.03,2.67,28.6,2010,Pre,S07,0.293366639,South
wet,1,38B,255.045,357.191,0.286,144.3,0.0264,-1,26.2,2010,Pre,S07,0.285970251,South
wet,2,52,236,326.5,0.28,139.91,0.03,6.63,24.61,2014,Peak,S07,0.277182236,South
wet,2,49,276.9,373.2,0.26,130.28,0.02,2.46,25.11,2014,Peak,S07,0.258038585,South
wet,2,41,246.9,330.1,0.25,127.22,0.02,2.91,24.55,2010,Pre,S07,0.252044835,South
wet,2,40,264.5,352,0.25,125.4,0.02,2.76,25.05,2010,Pre,S07,0.248579545,South
wet,2,39B,254.8,336.6,0.24,122.58,0.02,6.4,23.2,2010,Pre,S07,0.243018419,South
wet,2,51,234.7,306.9,0.24,118.65,0.02,2.99,24.83,2014,Peak,S07,0.235255784,South
wet,2,54,225.7,290.4,0.22,112.45,0.02,7.58,21.24,2014,Peak,S07,0.222796143,South
wet,1,49,277.469,353.997,0.2164,109.2,0.0333,0.489,33.6,2014,Peak,S07,0.216182623,South
wet,1,39B,248.215,316.631,0.2161,109,0.0326,0.665,33.4,2010,Pre,S07,0.216074863,South
wet,1,51,250.044,316.778,0.2107,106.3,0.0232,-1,22.4,2014,Peak,S07,0.210664882,South
wet,3,51,286.4,362.4,0.21,105.83,0.02,,18.89,2014,Peak,S07,0.209713024,South
wet,1,57,259.496,327.867,0.2088,105.4,0.0222,-1,21.5,2014,Peak,S07,0.208532728,South
wet,2,39A,305.5,384,0.2,103.13,0.02,2.19,23.63,2010,Pre,S07,0.204427083,South
wet,1,39A,267.43,332.764,0.1963,99.3,0.0293,0.584,29.6,2010,Pre,S07,0.196337344,South
wet,1,38A,254.196,315.605,0.1946,98.2,0.0302,0.671,31.2,2010,Pre,S07,0.194575498,South
wet,1,41,256.548,317.985,0.1932,97.5,0.0143,-1,12.8,2010,Pre,S07,0.193207227,South
wet,2,57,255.1,314.6,0.19,95.44,0.02,6.92,19.42,2014,Peak,S07,0.189129053,South
wet,1,54,276.942,339.19,0.1862,94,0.0222,-1,20.8,2014,Peak,S07,0.183519561,South
wet,2,55,250.9,307.1,0.18,92.31,0.02,7.11,19.23,2014,Peak,S07,0.183002279,South
wet,3,49,278.6,339.2,0.18,90.21,0.02,,15.96,2014,Peak,S07,0.17865566,South
wet,1,55,237.3,288.9,0.18,90.13,0.01,,14.78,2014,Peak,S07,0.178608515,South
wet,1,52,288.042,349.132,0.175,88.3,0.014,2.188,13.6,2014,Peak,S07,0.1749768,South
dry,3,147A,280.3,452.3,0.38,191.89,0.03,,31.33,2016,Peak,S11,0.380278576,South
dry,3,123,284.1,431.1,0.34,172.03,0.03,,29.13,2010,Pre,S11,0.34098817,South
dry,3,145A,284,427.4,0.34,169.26,0.03,,31.23,2016,Peak,S11,0.33551708,South
dry,3,119,282.4,423,0.33,167.77,0.03,,32.25,2010,Pre,S11,0.332387707,South
dry,1,145B,247.683,369.618,0.3299,166.5,0.0326,-1,31.3,2016,Peak,S11,0.329894648,South
dry,1,144,231.668,342.34,0.3233,163.1,0.0301,-1,29.5,2016,Peak,S11,0.323280949,South
dry,3,146A,276.9,408.6,0.32,162.56,0.03,,27.01,2016,Peak,S11,0.322320117,South
dry,3,145B,280.3,412.5,0.032,161.79,0.03,,27.91,2016,Peak,S11,0.320484848,South
dry,3,124,283.3,411.7,0.031,157.35,0.03,,30.32,2010,Pre,S11,0.311877581,South
dry,3,147B,272.8,389.2,0.3,150.83,0.03,,26.62,2016,Peak,S11,0.299075026,South
dry,1,146B,221.29,312.459,0.2918,147.2,0.0213,2.263,21.4,2016,Peak,S11,0.291779081,South
dry,1,119,201.782,283.31,0.287,145.2,0.0278,-1,27.6,2010,Pre,S11,0.287769581,South
dry,1,120,250.031,350.447,0.2865,144.6,0.0306,-1,29.4,2010,Pre,S11,0.286536909,South
dry,1,122,227.464,317.182,0.2829,142.7,0.0352,-1,34.6,2010,Pre,S11,0.282859683,South
dry,1,121,221.449,308.025,0.2811,141.8,0.0198,2.269,20.1,2010,Pre,S11,0.281068095,South
dry,3,121,301.3,415.2,0.27,138.39,0.03,,29.32,2010,Pre,S11,0.274325626,South
dry,1,124,245.769,338.303,0.2735,138,0.028,-1,28,2010,Pre,S11,0.27352403,South
dry,3,144,271.8,368.2,0.26,132.18,0.03,,26.03,2016,Peak,S11,0.261814231,South
dry,3,120,275.4,372.7,0.26,131.74,0.02,,23.29,2010,Pre,S11,0.261067883,South
dry,2,119,303.4,408.2,0.26,129.48,0.03,2.95,28.09,2010,Pre,S11,0.256736894,South
dry,3,122,292.3,392.8,0.26,129.08,0.02,,23.18,2010,Pre,S11,0.255855397,South
dry,1,146A,228.783,306.849,0.2544,128.4,0.0249,-1,24.5,2016,Peak,S11,0.254411779,South
dry,2,123,313.3,419.8,0.25,128.02,0.03,4.93,25.89,2010,Pre,S11,0.253692234,South
dry,2,144,292.9,392,0.25,127.46,0.03,5.35,25.68,2016,Peak,S11,0.252806122,South
dry,2,147A,291.2,389.7,0.25,127.57,0.03,5.39,25.98,2016,Peak,S11,0.252758532,South
dry,1,125,268.442,359.069,0.2524,127.4,0.0358,0.468,35.9,2010,Pre,S11,0.252394387,South
dry,1,147A,255.832,341.617,0.2511,126.7,0.0394,0.543,38.6,2016,Peak,S11,0.251114552,South
dry,1,123,233.971,312.365,0.251,126.6,0.0194,2.224,19.5,2010,Pre,S11,0.250969219,South
dry,2,120,267.8,355.2,0.25,124.2,0.03,6.01,25.63,2010,Pre,S11,0.246058559,South
dry,2,146A,343.6,455.1,0.24,1235.8,0.03,1.79,28.42,2016,Peak,S11,0.245001099,South
dry,2,122,282.1,371.6,0.24,121.61,0.02,5.7,23.92,2010,Pre,S11,0.240850377,South
dry,2,121,261.9,342.8,0.24,119.05,0.03,2.85,26.27,2010,Pre,S11,0.235997666,South
dry,2,125,321.8,420.9,0.24,118.81,0.03,2.01,28.85,2010,Pre,S11,0.23544785,South
dry,1,147B,211.444,276.266,0.2346,118.4,0.0145,2.645,14.9,2016,Peak,S11,0.234636184,South
dry,3,125,277.9,358.3,0.22,113.19,0.02,,19.72,2010,Pre,S11,0.224392967,South
dry,2,145B,341.6,431.5,0.21,105.1,0.02,4.77,24,2016,Peak,S11,0.20834299,South
dry,2,145A,278.9,351.6,0.21,104.31,0.02,6.08,20.76,2016,Peak,S11,0.206769056,South
dry,2,124,302.1,379.2,0.2,102.57,0.02,5.57,21.14,2010,Pre,S11,0.203322785,South
dry,3,146B,297.9,372,0.2,100.55,0.02,,19.54,2016,Peak,S11,0.199193548,South
dry,2,146B,354.2,437.5,0.19,96.11,0.02,1.9,22.53,2016,Peak,S11,0.1904,South
dry,2,147B,349.6,428.2,0.18,92.59,0.02,1.81,21.89,2016,Peak,S11,0.183559085,South
dry,1,145A,329.271,364.788,0.0974,49.1,0.0187,-1,17,2016,Peak,S11,0.0973634,South
wet,3,123,267.4,437.6,0.33,164.17,0.03,,28.91,2010,Pre,S11,0.388939671,South
wet,1,120,290.644,471.857,0.384,193.8,0.0357,-1,35.3,2010,Pre,S11,0.384042199,South
wet,3,122,273.3,441.8,0.38,192.47,0.03,,33.9,2010,Pre,S11,0.381394296,South
wet,3,146A,261.8,414.2,0.37,185.66,0.03,,30.51,2016,Peak,S11,0.367938194,South
wet,3,147B,284.3,439.9,0.35,178.54,0.03,,29.82,2016,Peak,S11,0.353716754,South
wet,3,144,261.8,396.6,0.34,171.5,0.03,,31.26,2016,Peak,S11,0.339889057,South
wet,3,124,283.2,428.3,0.34,170.96,0.03,,32.33,2010,Pre,S11,0.338781228,South
wet,3,145B,296.1,436.9,0.32,162.53,0.03,,27.78,2016,Peak,S11,0.322270542,South
wet,3,147A,261.6,385,0.32,161.72,0.03,,27.94,2016,Peak,S11,0.320519481,South
wet,2,120,258.1,379.7,0.32,161.6,0.03,5.56,29.41,2010,Pre,S11,0.320252831,South
wet,1,144,305.158,440.384,0.3071,155,0.0386,-1,37.7,2016,Peak,S11,0.307063835,South
wet,3,145A,283.8,407.8,0.3,153.41,0.03,,26.16,2016,Peak,S11,0.304070623,South
wet,2,144,244.9,348.3,0.3,149.84,0.03,6.15,27.6,2016,Peak,S11,0.296870514,South
wet,3,146B,272.9,384.3,0.29,146.28,0.03,,27.76,2016,Peak,S11,0.2898777,South
wet,2,146B,257.9,361.5,0.29,144.67,0.03,2.68,26.12,2016,Peak,S11,0.286583679,South
wet,2,146A,274.3,384.2,0.29,144.24,0.03,2.36,30.3,2016,Peak,S11,0.286048933,South
wet,1,146B,230.928,320.906,0.2804,141.5,0.0377,0.643,38.7,2016,Peak,S11,0.280387403,South
wet,2,122,231.9,317,0.27,135.5,0.02,6.86,23.69,2010,Pre,S11,0.268454259,South
wet,2,147B,251,342.5,0.27,134.72,0.03,2.77,28.65,2016,Peak,S11,0.267153285,South
wet,2,123,283.3,385.9,0.27,134.1,0.03,2.28,27.96,2010,Pre,S11,0.265871988,South
wet,2,147A,272.8,371.3,0.27,133.8,0.02,5.71,23.78,2016,Peak,S11,0.265284137,South
wet,3,125,262.8,357.5,0.26,133.58,0.02,,23.55,2010,Pre,S11,0.264895105,South
wet,3,119,252.8,343.5,0.26,133.22,0.02,,25.12,2010,Pre,S11,0.264046579,South
wet,1,146A,247.332,335.26,0.2623,132.3,0.0273,-1,26,2016,Peak,S11,0.26226809,South
wet,2,124,259.8,351.1,0.26,131.16,0.03,6.09,24.36,2010,Pre,S11,0.260039875,South
wet,2,121,273.9,369.8,0.26,130.84,0.03,2.43,28.89,2010,Pre,S11,0.259329367,South
wet,2,125,282.3,378.7,0.25,128.46,0.03,2.49,27.78,2010,Pre,S11,0.254555057,South
wet,3,120,284.8,380.1,0.25,126.5,0.02,,22.61,2010,Pre,S11,0.250723494,South
wet,2,119,271.7,361.7,0.25,126,0.03,2.57,27.18,2010,Pre,S11,0.248824993,South
wet,2,145B,263.8,350.4,0.25,124.71,0.02,6.11,23.79,2016,Peak,S11,0.247146119,South
wet,2,145A,308.7,408.1,0.24,122.87,0.03,2,26.15,2016,Peak,S11,0.243567753,South
wet,1,124,254.404,334.745,0.24,121.1,0.0181,2.325,18.7,2010,Pre,S11,0.240006572,South
wet,1,123,245.771,322.074,0.2369,119.6,0.0168,2.176,17.4,2010,Pre,S11,0.236911393,South
wet,1,145B,281.094,366.893,0.2339,118,0.0186,-1,17.6,2016,Peak,S11,0.233852922,South
wet,1,147A,301.919,386.776,0.2194,110.7,0.0305,-1,23.3,2016,Peak,S11,0.219395723,South
wet,3,121,292.5,373.5,0.22,109.49,0.02,,22.74,2010,Pre,S11,0.21686747,South
wet,1,119,276.146,350.418,0.212,107,0.0333,0.505,33.5,2010,Pre,S11,0.211952582,South
wet,1,147B,258.277,327.048,0.2103,106.1,0.0307,-1,29.7,2016,Peak,S11,0.210278002,South
wet,1,122,256.416,323.231,0.2067,104.3,0.0153,2.443,16.2,2010,Pre,S11,0.206709752,South
wet,1,121,265.188,322.874,0.1787,90.2,0.022,-1,21.7,2010,Pre,S11,0.178664123,South
wet,1,145A,360.757,432.823,0.1665,84,0.0276,-1,25.6,2016,Peak,S11,0.166502242,South
wet,1,125,309.766,369.669,0.162,81.8,0.0291,0.426,29.1,2010,Pre,S11,0.162044965,South
dry,2,154,232.9,416.3,0.22,112.01,0.03,2.17,26.12,2010,Pre,S15,0.440547682,North
