,X,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site,PrePeak,Region
1,879,6,3.929352877,48.32552903,30.50398714,0.390334756,26.704,1199.999355,1,wet,1,2010,S02,Pre,South
2,1477,6,3.020633029,48.65958065,38.2722074,0.545707605,25.9933871,1199.987742,3,wet,1,2010,S02,Pre,South
3,554,6,3.950366315,48.30131935,32.25690435,0.440043869,25.97499677,1199.988387,3,dry,1,2010,S02,Pre,South
4,1620,6,-1.205422922,50.33656774,52.70400477,0.621694942,26.00587419,1199.989677,4,wet,1,2010,S02,Pre,South
5,240,6,4.27129305,48.26750968,-43.32955072,0.075430786,25.98577097,1199.990323,4,dry,1,2010,S02,Pre,South
6,1672,6,-3.335696473,51.21204839,63.21934225,0.425108506,26.01015806,1199.990645,5,wet,1,2010,S02,Pre,South
7,892,6,-2.713163454,51.03383226,74.32041095,0.17962681,25.98601935,1200.006129,5,dry,1,2010,S02,Pre,South
8,1399,6,2.644214715,48.9119871,-12.03718764,0.070576157,26.00687742,1200.002581,6,wet,1,2010,S02,Pre,South
9,424,6,-3.146062765,51.22674194,112.3173162,0.080783652,26.00436452,1200.000968,6,dry,1,2010,S02,Pre,South
10,1282,6,3.095820608,48.67181935,33.01574437,0.350942792,26.4059129,1200.010323,7,wet,1,2010,S02,Pre,South
11,671,6,-3.698506236,51.41614194,78.84216614,0.21068394,26.00772903,1199.988387,7,dry,1,2010,S02,Pre,South
12,1295,6,-1.236892877,50.38179032,55.23304329,0.348187824,26.00798387,1199.989677,8,wet,1,2010,S02,Pre,South
13,658,6,2.445974237,48.95786774,26.279776,0.183511425,26.00133548,1199.994194,8,dry,1,2010,S02,Pre,South
14,1165,6,-4.008837977,51.48337097,67.23196625,0.395747476,26.28875806,1199.994839,40,wet,1,2010,S07,Pre,South
15,1880,6,-3.55158507,51.3080129,64.52671698,0.414832026,25.98260968,1199.989677,40,dry,1,2010,S07,Pre,South
16,1126,6,-3.827249519,51.40519677,64.79385219,0.442285712,26.27850645,1199.990968,41,wet,1,2010,S07,Pre,South
17,32,6,4.156836149,48.28214516,1.703217507,0.147400255,25.96776129,1200.016452,41,dry,1,2010,S07,Pre,South
18,1243,6,4.166013768,48.21058065,34.53735814,0.558780756,25.97969355,1200.01129,119,wet,1,2010,S11,Pre,South
19,1867,6,-0.464453226,50.15983548,66.13472407,0.043217192,25.99803226,1199.994194,119,dry,1,2010,S11,Pre,South
20,1269,6,-1.355565905,50.4365,54.53600668,0.441429518,26.24536452,1200.003871,120,wet,1,2010,S11,Pre,South
21,1828,6,-1.00961082,50.34897097,59.12292062,0.164980436,25.99732581,1199.999355,120,dry,1,2010,S11,Pre,South
22,1685,6,-1.16072668,50.40915806,58.88282648,0.196690173,25.9927,1200.00129,121,wet,1,2010,S11,Pre,South
23,801,6,-3.078247879,51.19692903,165.8387442,0.042262523,25.97720968,1200.018387,121,dry,1,2010,S11,Pre,South
24,1737,6,-2.623375451,50.96369677,65.49883444,0.275159398,26.00242258,1200.003548,122,wet,1,2010,S11,Pre,South
25,1932,6,2.729444701,48.87862258,-19.21513473,0.065028501,25.99566774,1199.996452,122,dry,1,2010,S11,Pre,South
26,1035,6,-3.491842158,51.28055161,66.18323026,0.361505159,25.99632581,1200.005484,123,wet,1,2010,S11,Pre,South
27,645,6,-2.808756888,51.02412258,70.77955868,0.218976265,25.9971871,1200.001613,123,dry,1,2010,S11,Pre,South
28,918,6,-2.542517131,50.90265806,60.31746567,0.404351192,25.99663871,1200.026129,124,wet,1,2010,S11,Pre,South
29,1958,6,-0.603046743,50.20634839,57.08102579,0.121194845,26.00029677,1199.987742,124,dry,1,2010,S11,Pre,South
30,1815,6,3.706373444,48.4173,-1.449335495,0.122184604,25.98231935,1199.996129,125,dry,1,2010,S11,Pre,South
31,307,6,-0.838406311,50.19773871,51.70546974,0.577708707,25.99291613,1200.012258,148,wet,1,2010,S15,Pre,North
32,398,6,3.005414258,48.5412129,25.04469096,0.218124159,26.01449355,1200.02,148,dry,1,2010,S15,Pre,North
33,1217,6,4.087525434,48.29786129,25.05109909,0.303260041,25.98643548,1199.995484,149,wet,1,2010,S15,Pre,North
34,1854,6,3.870837153,48.33427097,32.23319462,0.428931536,25.9939129,1200.009355,149,dry,1,2010,S15,Pre,North
35,983,6,-0.826949641,50.2495871,53.24552349,0.337625187,25.99352581,1199.99871,152,wet,1,2010,S15,Pre,North
36,684,6,2.534426081,48.96164839,-22.55326696,0.057387483,25.9849871,1200.012258,152,dry,1,2010,S15,Pre,North
37,1178,6,3.095080687,48.65805484,34.3264352,0.38830585,26.40899677,1200.002903,153,wet,1,2010,S15,Pre,North
38,214,6,0.874725675,48.9070871,19.86094609,0.050723592,25.99138387,1199.981935,153,dry,1,2010,S15,Pre,North
39,1607,6,-1.004552165,50.23863871,56.04427966,0.237864645,26.23828387,1199.997742,154,wet,1,2010,S15,Pre,North
40,502,6,3.813131646,48.42405806,3.902644321,0.141535652,25.97820323,1200.00871,154,dry,1,2010,S15,Pre,North
41,1139,6,4.306931492,48.2122,16.27079779,0.227501869,25.98972581,1199.994194,155,wet,1,2010,S15,Pre,North
42,411,6,-3.334447323,51.14236452,123.7984244,0.072129747,25.98981613,1200.003548,155,dry,1,2010,S15,Pre,North
43,1490,6,-0.954341255,50.28420323,53.70451887,0.353306964,26.00813226,1199.969032,183,wet,1,2010,S16,Pre,North
44,749,6,-0.237466462,50.08313548,55.75111476,0.055548666,26.00919032,1200.00871,183,dry,1,2010,S16,Pre,North
45,1438,6,-0.653781456,50.20209355,53.62532175,0.236859389,26.00111613,1200.002258,184,wet,1,2010,S16,Pre,North
46,762,6,-1.077357402,50.15235161,59.16648878,0.173509177,25.99384194,1199.984194,184,dry,1,2010,S16,Pre,North
47,944,6,4.070744384,48.25726774,31.44293402,0.432408208,26.69374516,1200.016452,185,wet,1,2010,S16,Pre,North
48,45,6,1.010167232,48.75874516,-7.809131004,0.029225113,25.99612903,1200.006774,185,dry,1,2010,S16,Pre,North
49,931,6,3.130583327,48.65701935,31.7698254,0.326662805,26.00794516,1200.015161,186,wet,1,2010,S16,Pre,North
50,528,6,-0.349973012,50.11076129,54.02970285,0.111506558,25.9861871,1200.002581,186,dry,1,2010,S16,Pre,North
51,1100,6,-4.138815583,51.51772903,65.62292237,0.456825956,26.29461935,1199.989032,187,wet,1,2010,S16,Pre,North
52,123,6,-3.289949461,51.2216129,69.02197923,0.285626411,25.99514516,1200.002581,187,dry,1,2010,S16,Pre,North
53,1451,6,-0.868527405,50.25652258,53.40662764,0.339930873,26.23630645,1200.000323,189,wet,1,2010,S16,Pre,North
54,97,6,4.070123823,48.33613226,-10.47961408,0.113281185,25.96609355,1199.986774,189,dry,1,2010,S16,Pre,North
55,450,6,-0.760201968,50.24923226,55.8908236,0.181975579,26.23012903,1200.002903,190,wet,1,2010,S16,Pre,North
56,1841,6,1.029996666,48.7414871,-148.5880964,0.00833457,25.98879032,1200.007097,190,dry,1,2010,S16,Pre,North
57,1373,6,-0.768096648,50.2637871,57.64789702,0.145544163,26.19850645,1199.989677,342,wet,1,2011,S36,Pre,North
58,463,6,-2.778066109,51.08087419,107.0564451,0.077693519,25.99556452,1199.971935,342,dry,1,2011,S36,Pre,North
59,1347,6,2.772078128,48.74273871,39.36135661,0.563542127,26.41845484,1199.993871,343,wet,1,2011,S36,Pre,North
60,201,6,-0.848927934,50.25298065,53.23723179,0.349632445,25.98820323,1199.997742,343,dry,1,2011,S36,Pre,North
61,19,6,2.978351879,48.66979677,38.70357696,0.564871186,26.0134129,1200.009032,344,wet,1,2011,S36,Pre,North
62,567,6,-2.499225484,50.94399032,70.81459795,0.192972576,25.98649355,1199.992581,344,dry,1,2011,S36,Pre,North
63,736,6,2.518876002,48.89050645,36.01319183,0.352599881,26.00624839,1199.993226,345,wet,1,2011,S36,Pre,North
64,1997,6,-0.911454457,50.30726129,60.96256205,0.124748158,25.9970129,1200.02,345,dry,1,2011,S36,Pre,North
65,1061,6,-0.803232583,50.22078387,52.66576188,0.380199877,26.22620323,1199.99129,346,wet,1,2011,S36,Pre,North
66,110,6,-1.442830051,50.30310323,57.19801448,0.298795439,25.99677097,1199.981935,346,dry,1,2011,S36,Pre,North
67,1256,6,3.886854792,48.32565806,33.11582049,0.459903626,25.99278065,1199.99871,348,wet,1,2011,S36,Pre,North
68,853,6,4.084038382,48.35110323,-177.8555569,0.028816088,25.97989677,1200.000968,348,dry,1,2011,S36,Pre,North
69,1581,6,4.134067892,48.2395,30.16169704,0.405570318,26.70095806,1199.993871,349,wet,1,2011,S36,Pre,North
70,71,6,-0.775666206,50.28793871,91.4718664,0.029068804,25.99813871,1200.032581,349,dry,1,2011,S36,Pre,North
71,1425,6,4.050446033,48.28606129,23.77440506,0.283975298,26.00346452,1200.002258,38A,wet,1,2010,S07,Pre,South
72,1971,6,-2.905543845,51.08697419,71.65659929,0.217998671,25.99386774,1200.005161,38A,dry,1,2010,S07,Pre,South
73,1308,6,-1.009786961,50.2711129,52.24727066,0.580162102,26.24314516,1199.984516,38B,wet,1,2010,S07,Pre,South
74,697,6,3.724254099,48.45329677,3.082234627,0.135453894,25.9646871,1200.007419,38B,dry,1,2010,S07,Pre,South
75,1789,6,4.15830013,48.21791613,34.48023174,0.55545515,26.21611935,1200.008065,39A,wet,1,2010,S07,Pre,South
76,1802,6,-2.705107465,51.06936774,122.6378607,0.059247514,26.00259032,1199.99871,39A,dry,1,2010,S07,Pre,South
77,1529,6,3.992573798,48.32069032,25.28729761,0.299028044,25.98433871,1200.002581,39B,wet,1,2010,S07,Pre,South
78,279,6,2.747568032,48.83502258,29.5526598,0.246632712,25.95355484,1200.003548,39B,dry,1,2010,S07,Pre,South
79,6,6,-0.283655609,49.9019,49.49881911,0.667885829,26.0100375,1200.02,1,wet,2,2010,S02,Pre,South
80,19,6,1.537900728,49.27748065,40.63105273,0.349603683,25.98609032,1199.989677,119,dry,2,2010,S11,Pre,South
81,32,6,1.230113838,49.26953548,45.46964139,0.855138548,26.01333871,1199.989355,119,wet,2,2010,S11,Pre,South
82,45,6,0.10390757,49.8278375,48.30926267,0.552842468,25.9845,1200,120,dry,2,2010,S11,Pre,South
83,58,6,0.520861216,49.5364,46.57654236,0.499692884,25.99567778,1199.99,120,wet,2,2010,S11,Pre,South
84,71,6,1.950988599,49.15567667,26.30544602,0.146672181,25.97500667,1199.996333,121,dry,2,2010,S11,Pre,South
85,84,6,0.402744935,49.61888065,47.45377216,0.760387143,25.99596774,1200.009355,121,wet,2,2010,S11,Pre,South
86,97,6,0.175772619,49.83736667,46.31984205,0.131276421,25.97391111,1200.008889,122,dry,2,2010,S11,Pre,South
87,110,6,-1.202539227,50.25775556,51.71305255,0.82534298,26.00752222,1200.017778,122,wet,2,2010,S11,Pre,South
88,123,6,-0.063088457,49.88833333,48.86070717,0.480012999,25.99312222,1199.98,123,dry,2,2010,S11,Pre,South
89,136,6,-0.139278203,49.75680323,48.80026749,1.095398849,26.00439355,1200.012903,123,wet,2,2010,S11,Pre,South
90,149,6,0.128779502,49.80343333,48.02232734,0.410813408,25.99064444,1200.008889,124,dry,2,2010,S11,Pre,South
91,162,6,-0.521709993,49.97388889,50.01511073,0.789006239,25.99468889,1199.995556,124,wet,2,2010,S11,Pre,South
92,175,6,0.933871511,49.50832258,43.78568709,0.351669879,25.97403871,1200.005484,125,dry,2,2010,S11,Pre,South
93,188,6,1.033978444,49.51867419,37.77008035,0.163818334,25.99898387,1199.997097,125,wet,2,2010,S11,Pre,South
94,383,6,1.605483568,49.21270645,41.77313232,0.443295692,26.00907742,1199.999355,148,dry,2,2010,S15,Pre,North
95,396,6,-0.388493328,49.91283871,49.49840774,0.85660973,25.99966129,1200.019677,148,wet,2,2010,S15,Pre,North
96,409,6,0.160134839,49.87633333,46.81016,0.147289458,26.00955556,1199.966667,149,dry,2,2010,S15,Pre,North
97,422,6,0.978469766,49.37788065,41.14211308,0.236788985,26.0109871,1199.965161,149,wet,2,2010,S15,Pre,North
98,435,6,-0.149810492,49.88514444,49.17137697,0.524595699,26.00197778,1199.977778,152,dry,2,2010,S15,Pre,North
99,448,6,-0.304450824,49.91501111,49.44171324,0.855607544,25.98933333,1200.01,152,wet,2,2010,S15,Pre,North
100,461,6,-0.255118181,49.89648889,49.44390648,0.59435208,26.01427778,1199.991111,153,dry,2,2010,S15,Pre,North
101,474,6,-0.614811348,49.99000645,50.02476361,0.883267293,25.99647742,1199.995806,153,wet,2,2010,S15,Pre,North
102,487,6,1.655957606,49.20639667,40.81994724,0.392992537,25.99863333,1200.023667,154,dry,2,2010,S15,Pre,North
103,500,6,0.600916501,49.39798889,45.6533519,0.404921547,26.0022,1200.026667,154,wet,2,2010,S15,Pre,North
104,513,6,0.571087579,49.67193333,45.76031324,0.360558321,25.99045556,1200.026667,155,dry,2,2010,S15,Pre,North
105,526,6,0.114186872,49.88903333,46.69780092,0.100701031,25.98828889,1200.002222,155,wet,2,2010,S15,Pre,North
106,708,6,1.675050507,49.1574129,42.66081803,0.547688667,25.99279677,1199.996774,183,dry,2,2010,S16,Pre,North
107,721,6,0.397079491,49.6818,47.5269947,0.678694216,26.00908889,1199.96,183,wet,2,2010,S16,Pre,North
108,734,6,0.229834972,49.80371111,47.11643295,0.273922341,25.98904444,1200.025556,184,dry,2,2010,S16,Pre,North
109,747,6,-0.4512055,49.98288889,49.91726735,0.734391174,26.00884444,1200.014444,184,wet,2,2010,S16,Pre,North
110,760,6,-0.15529424,49.90513333,49.18981289,0.527669445,26.00735556,1199.977778,185,dry,2,2010,S16,Pre,North
111,773,6,0.301238197,49.81695484,45.56225184,0.173013306,25.98983548,1200.011613,185,wet,2,2010,S16,Pre,North
112,786,6,1.483553042,49.26857097,42.46756738,0.454597565,25.99854839,1200.002903,186,dry,2,2010,S16,Pre,North
113,799,6,0.301871919,49.65511613,47.7775316,0.819463512,26.00947097,1200.009032,186,wet,2,2010,S16,Pre,North
114,812,6,-0.200070662,49.8495,49.19238007,0.840709568,26.00562222,1200.024444,187,wet,2,2010,S16,Pre,North
115,825,6,-0.049244602,49.88837778,48.85404391,0.300108043,25.99222222,1199.995556,189,dry,2,2010,S16,Pre,North
116,838,6,-1.024700872,50.17284444,54.21047261,0.31929326,25.98361111,1199.95,189,wet,2,2010,S16,Pre,North
117,851,6,-0.007329831,49.9344125,48.68741664,0.174422281,25.9842875,1200.00625,190,dry,2,2010,S16,Pre,North
118,864,6,0.114983377,49.8693871,47.37111247,0.185217587,25.98595484,1200.025484,190,wet,2,2010,S16,Pre,North
119,1072,6,1.61469107,49.15500968,43.90074814,0.699849577,26.00990968,1199.991935,3,dry,2,2010,S02,Pre,South
120,1085,6,-0.004925527,49.78564839,48.54688607,0.721709756,26.00165161,1200.012258,3,wet,2,2010,S02,Pre,South
121,1137,6,1.342697813,49.26710645,44.6700688,0.695325402,26.00565806,1200.023548,342,dry,2,2011,S36,Pre,North
122,1150,6,1.531837442,49.26378387,40.43968125,0.345999166,25.99721935,1200.001613,342,wet,2,2011,S36,Pre,North
123,1163,6,0.257079434,49.74094444,47.73515035,0.556885584,25.9997,1200,343,dry,2,2011,S36,Pre,North
124,1176,6,-0.645286544,49.97277778,50.28281905,0.789679021,25.99407778,1199.955556,343,wet,2,2011,S36,Pre,North
125,1189,6,0.747772712,49.41526667,43.8834473,0.290571195,25.98902222,1200.046667,344,dry,2,2011,S36,Pre,North
126,1202,6,-0.165132367,49.86048889,49.12129808,0.685832789,26.00847778,1200.031111,344,wet,2,2011,S36,Pre,North
127,1215,6,1.875093529,49.15258,35.24716714,0.244938224,25.99127667,1199.995,345,dry,2,2011,S36,Pre,North
128,1228,6,-0.16266305,49.7743,48.89231845,1.198217065,25.98282581,1200.003548,345,wet,2,2011,S36,Pre,North
129,1241,6,0.097629305,49.78445556,48.26925644,0.55978771,26.00686667,1199.984444,346,dry,2,2011,S36,Pre,North
130,1254,6,-0.29699773,49.86092222,49.31591078,1.10073099,26.00298889,1200.022222,346,wet,2,2011,S36,Pre,North
131,1267,6,1.859189577,49.15170968,37.47552258,0.297280853,25.99941935,1200.000968,348,dry,2,2011,S36,Pre,North
132,1280,6,-0.098756803,49.8436,48.92030277,0.646042666,25.99687778,1199.987778,348,wet,2,2011,S36,Pre,North
133,1293,6,1.86799839,49.12314516,40.18463826,0.412264703,25.99779032,1200.014839,349,dry,2,2011,S36,Pre,North
134,1306,6,0.651543572,49.49867097,46.97124654,0.879466256,25.98484839,1200.014516,349,wet,2,2011,S36,Pre,North
135,1592,6,1.169633373,49.45811935,37.68458755,0.182035638,25.97641613,1199.98871,38a,dry,2,2010,S07,Pre,South
136,1605,6,0.992391493,49.5087129,41.06335281,0.232187732,25.99501613,1199.980323,38a,wet,2,2010,S07,Pre,South
137,1618,6,1.768439623,49.17560968,37.89278315,0.294033472,25.98166452,1199.992581,38b,dry,2,2010,S07,Pre,South
138,1631,6,0.325605343,49.76635556,46.88541911,0.335852053,25.99576667,1200.014444,38b,wet,2,2010,S07,Pre,South
139,1644,6,-0.407935687,50.01022222,50.19772354,0.491848585,25.98534444,1199.991111,39a,dry,2,2010,S07,Pre,South
140,1657,6,0.183060633,49.72222903,48.03751792,0.709889471,25.98129355,1199.976452,39a,wet,2,2010,S07,Pre,South
141,1670,6,-1.184461838,50.21813333,51.67983598,0.811089775,26.00627778,1200.021111,39b,wet,2,2010,S07,Pre,South
142,1683,6,0.399737397,49.63486129,47.49606004,0.774831847,25.98807419,1200.018387,4,wet,2,2010,S02,Pre,South
143,1696,6,1.222487887,49.43300968,37.5865541,0.189042872,25.99959032,1199.969677,40,dry,2,2010,S07,Pre,South
144,1709,6,1.665301008,49.36642581,66.54953384,-0.136353989,25.98925484,1199.984194,40,wet,2,2010,S07,Pre,South
145,1722,6,1.395641628,49.28660968,43.87790335,0.579478922,26.00510645,1200.000323,41,dry,2,2010,S07,Pre,South
146,1735,6,0.934688963,49.34275484,46.60593511,1.096009013,26.00635484,1200.006774,41,wet,2,2010,S07,Pre,South
147,1774,6,0.84151299,49.46382333,46.30004199,0.77312978,25.98994333,1199.991333,5,wet,2,2010,S02,Pre,South
148,1917,6,0.127937892,49.83255556,47.97611194,0.363389659,25.99972222,1200.018889,6,dry,2,2010,S02,Pre,South
149,1930,6,-0.262850393,49.87166667,49.3586936,0.81298874,25.99836667,1199.992222,6,wet,2,2010,S02,Pre,South
150,1943,6,1.206666474,49.39047419,42.4662345,0.357713913,25.98072581,1200.011935,7,dry,2,2010,S02,Pre,South
151,1956,6,1.423002785,49.31526774,40.80272733,0.334967031,26.00275161,1199.995484,7,wet,2,2010,S02,Pre,South
152,1969,6,-0.454563407,49.97476667,49.95400734,0.696809814,25.99625556,1199.981111,8,dry,2,2010,S02,Pre,South
153,1982,6,0.002250816,49.775,48.6612905,0.866987982,25.99415556,1199.968889,8,wet,2,2010,S02,Pre,South
